time,temperature_2m,date
2026-05-26 00:00:00,23.2,2026-05-26
2026-05-26 01:00:00,22.3,2026-05-26
2026-05-26 02:00:00,21.4,2026-05-26
2026-05-26 03:00:00,20.5,2026-05-26
2026-05-26 04:00:00,19.2,2026-05-26
2026-05-26 05:00:00,19.0,2026-05-26
2026-05-26 06:00:00,21.3,2026-05-26
2026-05-26 07:00:00,22.9,2026-05-26
2026-05-26 08:00:00,24.6,2026-05-26
2026-05-26 09:00:00,27.4,2026-05-26
2026-05-26 10:00:00,29.1,2026-05-26
2026-05-26 11:00:00,30.7,2026-05-26
2026-05-26 12:00:00,32.1,2026-05-26
2026-05-26 13:00:00,32.8,2026-05-26
2026-05-26 14:00:00,33.4,2026-05-26
2026-05-26 15:00:00,33.9,2026-05-26
2026-05-26 16:00:00,33.0,2026-05-26
2026-05-26 17:00:00,32.3,2026-05-26
2026-05-26 18:00:00,31.1,2026-05-26
2026-05-26 19:00:00,30.0,2026-05-26
2026-05-26 20:00:00,28.4,2026-05-26
2026-05-26 21:00:00,26.4,2026-05-26
2026-05-26 22:00:00,25.0,2026-05-26
2026-05-26 23:00:00,23.9,2026-05-26
2026-05-27 00:00:00,22.7,2026-05-27
2026-05-27 01:00:00,21.7,2026-05-27
2026-05-27 02:00:00,21.1,2026-05-27
2026-05-27 03:00:00,19.5,2026-05-27
2026-05-27 04:00:00,19.0,2026-05-27
2026-05-27 05:00:00,19.0,2026-05-27
2026-05-27 06:00:00,22.3,2026-05-27
2026-05-27 07:00:00,23.9,2026-05-27
2026-05-27 08:00:00,25.6,2026-05-27
2026-05-27 09:00:00,28.1,2026-05-27
2026-05-27 10:00:00,30.2,2026-05-27
2026-05-27 11:00:00,31.2,2026-05-27
2026-05-27 12:00:00,31.8,2026-05-27
2026-05-27 13:00:00,32.4,2026-05-27
2026-05-27 14:00:00,32.9,2026-05-27
2026-05-27 15:00:00,32.5,2026-05-27
2026-05-27 16:00:00,32.3,2026-05-27
2026-05-27 17:00:00,31.9,2026-05-27
2026-05-27 18:00:00,30.8,2026-05-27
2026-05-27 19:00:00,29.9,2026-05-27
2026-05-27 20:00:00,28.9,2026-05-27
2026-05-27 21:00:00,27.4,2026-05-27
2026-05-27 22:00:00,25.8,2026-05-27
2026-05-27 23:00:00,24.6,2026-05-27
2026-05-28 00:00:00,24.3,2026-05-28
2026-05-28 01:00:00,23.3,2026-05-28
2026-05-28 02:00:00,22.6,2026-05-28
2026-05-28 03:00:00,22.0,2026-05-28
2026-05-28 04:00:00,21.3,2026-05-28
2026-05-28 05:00:00,21.0,2026-05-28
2026-05-28 06:00:00,21.4,2026-05-28
2026-05-28 07:00:00,22.5,2026-05-28
2026-05-28 08:00:00,24.2,2026-05-28
2026-05-28 09:00:00,26.8,2026-05-28
2026-05-28 10:00:00,28.8,2026-05-28
2026-05-28 11:00:00,30.5,2026-05-28
2026-05-28 12:00:00,31.8,2026-05-28
2026-05-28 13:00:00,32.4,2026-05-28
2026-05-28 14:00:00,32.8,2026-05-28
2026-05-28 15:00:00,32.8,2026-05-28
2026-05-28 16:00:00,32.9,2026-05-28
2026-05-28 17:00:00,32.4,2026-05-28
2026-05-28 18:00:00,31.6,2026-05-28
2026-05-28 19:00:00,30.4,2026-05-28
2026-05-28 20:00:00,28.9,2026-05-28
2026-05-28 21:00:00,26.9,2026-05-28
2026-05-28 22:00:00,25.7,2026-05-28
2026-05-28 23:00:00,24.8,2026-05-28
2026-05-29 00:00:00,24.3,2026-05-29
2026-05-29 01:00:00,23.5,2026-05-29
2026-05-29 02:00:00,23.0,2026-05-29
2026-05-29 03:00:00,21.8,2026-05-29
2026-05-29 04:00:00,21.4,2026-05-29
2026-05-29 05:00:00,21.1,2026-05-29
2026-05-29 06:00:00,22.1,2026-05-29
2026-05-29 07:00:00,23.7,2026-05-29
2026-05-29 08:00:00,25.7,2026-05-29
2026-05-29 09:00:00,28.1,2026-05-29
2026-05-29 10:00:00,29.8,2026-05-29
2026-05-29 11:00:00,31.2,2026-05-29
2026-05-29 12:00:00,31.8,2026-05-29
2026-05-29 13:00:00,32.4,2026-05-29
2026-05-29 14:00:00,32.9,2026-05-29
2026-05-29 15:00:00,33.0,2026-05-29
2026-05-29 16:00:00,33.0,2026-05-29
2026-05-29 17:00:00,32.7,2026-05-29
2026-05-29 18:00:00,31.4,2026-05-29
2026-05-29 19:00:00,30.4,2026-05-29
2026-05-29 20:00:00,28.8,2026-05-29
2026-05-29 21:00:00,27.3,2026-05-29
2026-05-29 22:00:00,26.3,2026-05-29
2026-05-29 23:00:00,25.3,2026-05-29
2026-05-30 00:00:00,24.1,2026-05-30
2026-05-30 01:00:00,23.6,2026-05-30
2026-05-30 02:00:00,23.1,2026-05-30
2026-05-30 03:00:00,22.7,2026-05-30
2026-05-30 04:00:00,22.5,2026-05-30
2026-05-30 05:00:00,22.2,2026-05-30
2026-05-30 06:00:00,22.9,2026-05-30
2026-05-30 07:00:00,24.5,2026-05-30
2026-05-30 08:00:00,26.2,2026-05-30
2026-05-30 09:00:00,28.8,2026-05-30
2026-05-30 10:00:00,30.2,2026-05-30
2026-05-30 11:00:00,31.7,2026-05-30
2026-05-30 12:00:00,33.0,2026-05-30
2026-05-30 13:00:00,33.5,2026-05-30
2026-05-30 14:00:00,34.1,2026-05-30
2026-05-30 15:00:00,34.2,2026-05-30
2026-05-30 16:00:00,33.9,2026-05-30
2026-05-30 17:00:00,33.2,2026-05-30
2026-05-30 18:00:00,32.3,2026-05-30
2026-05-30 19:00:00,31.2,2026-05-30
2026-05-30 20:00:00,26.7,2026-05-30
2026-05-30 21:00:00,26.6,2026-05-30
2026-05-30 22:00:00,25.4,2026-05-30
2026-05-30 23:00:00,23.1,2026-05-30
2026-05-31 00:00:00,22.2,2026-05-31
2026-05-31 01:00:00,19.9,2026-05-31
2026-05-31 02:00:00,19.6,2026-05-31
2026-05-31 03:00:00,18.8,2026-05-31
2026-05-31 04:00:00,18.2,2026-05-31
2026-05-31 05:00:00,17.6,2026-05-31
2026-05-31 06:00:00,17.9,2026-05-31
2026-05-31 07:00:00,18.1,2026-05-31
2026-05-31 08:00:00,18.9,2026-05-31
2026-05-31 09:00:00,20.9,2026-05-31
2026-05-31 10:00:00,21.7,2026-05-31
2026-05-31 11:00:00,22.0,2026-05-31
2026-05-31 12:00:00,22.3,2026-05-31
2026-05-31 13:00:00,22.5,2026-05-31
2026-05-31 14:00:00,22.2,2026-05-31
2026-05-31 15:00:00,21.9,2026-05-31
2026-05-31 16:00:00,22.5,2026-05-31
2026-05-31 17:00:00,22.6,2026-05-31
2026-05-31 18:00:00,22.1,2026-05-31
2026-05-31 19:00:00,22.4,2026-05-31
2026-05-31 20:00:00,20.3,2026-05-31
2026-05-31 21:00:00,20.0,2026-05-31
2026-05-31 22:00:00,18.9,2026-05-31
2026-05-31 23:00:00,17.6,2026-05-31
2026-06-01 00:00:00,16.8,2026-06-01
2026-06-01 01:00:00,16.1,2026-06-01
2026-06-01 02:00:00,15.6,2026-06-01
2026-06-01 03:00:00,15.2,2026-06-01
2026-06-01 04:00:00,14.9,2026-06-01
2026-06-01 05:00:00,14.9,2026-06-01
2026-06-01 06:00:00,15.6,2026-06-01
2026-06-01 07:00:00,16.6,2026-06-01
2026-06-01 08:00:00,18.1,2026-06-01
2026-06-01 09:00:00,20.3,2026-06-01
2026-06-01 10:00:00,21.7,2026-06-01
2026-06-01 11:00:00,22.9,2026-06-01
2026-06-01 12:00:00,24.0,2026-06-01
2026-06-01 13:00:00,24.8,2026-06-01
2026-06-01 14:00:00,25.2,2026-06-01
2026-06-01 15:00:00,25.6,2026-06-01
2026-06-01 16:00:00,25.9,2026-06-01
2026-06-01 17:00:00,25.9,2026-06-01
2026-06-01 18:00:00,25.5,2026-06-01
2026-06-01 19:00:00,24.7,2026-06-01
2026-06-01 20:00:00,24.1,2026-06-01
2026-06-01 21:00:00,23.2,2026-06-01
2026-06-01 22:00:00,22.6,2026-06-01
2026-06-01 23:00:00,22.2,2026-06-01
2026-06-02 00:00:00,21.7,2026-06-02
2026-06-02 01:00:00,21.2,2026-06-02
2026-06-02 02:00:00,20.4,2026-06-02
2026-06-02 03:00:00,19.6,2026-06-02
2026-06-02 04:00:00,19.0,2026-06-02
2026-06-02 05:00:00,17.9,2026-06-02
2026-06-02 06:00:00,17.8,2026-06-02
2026-06-02 07:00:00,17.8,2026-06-02
2026-06-02 08:00:00,17.8,2026-06-02
2026-06-02 09:00:00,17.5,2026-06-02
2026-06-02 10:00:00,17.6,2026-06-02
2026-06-02 11:00:00,18.8,2026-06-02
2026-06-02 12:00:00,21.0,2026-06-02
2026-06-02 13:00:00,21.4,2026-06-02
2026-06-02 14:00:00,20.8,2026-06-02
2026-06-02 15:00:00,20.1,2026-06-02
2026-06-02 16:00:00,21.0,2026-06-02
2026-06-02 17:00:00,20.6,2026-06-02
2026-06-02 18:00:00,20.0,2026-06-02
2026-06-02 19:00:00,19.1,2026-06-02
2026-06-02 20:00:00,18.1,2026-06-02
2026-06-02 21:00:00,17.3,2026-06-02
2026-06-02 22:00:00,16.5,2026-06-02
2026-06-02 23:00:00,15.9,2026-06-02
